2022-11-18 08:41:47,411 ; Detect AHRS2 ; 7.746642589569092
2022-11-18 08:41:49,436 ; Detect AHRS2 ; 9.771822929382324
2022-11-18 08:41:55,403 ; Detect AHRS2 ; 15.738982439041138
2022-11-18 08:41:59,155 ; Detect AHRS2 ; 19.49042844772339
2022-11-18 08:42:01,179 ; Detect AHRS2 ; 21.5149142742157
2022-11-18 08:42:06,460 ; Detect AHRS2 ; 26.796000242233276
2022-11-18 08:42:08,470 ; Detect AHRS2 ; 28.805931329727173
2022-11-18 08:42:11,484 ; Detect AHRS2 ; 31.820003509521484
2022-11-18 08:42:15,111 ; Detect AHRS2 ; 35.44642210006714
2022-11-18 08:42:18,664 ; Detect AHRS2 ; 38.99953055381775
2022-11-18 08:42:20,667 ; Detect AHRS2 ; 41.00286412239075
2022-11-18 08:42:24,486 ; Detect AHRS2 ; 44.822115659713745
2022-11-18 08:42:27,679 ; Detect AHRS2 ; 48.0142822265625
